k [ Mpc^-1],P(k) [Mpc^3]
0.007597247,75904.52217
0.007654579,76089.21297
0.007712343,76271.429
0.007770543,76451.12493
0.007829182,76628.25548
0.007888263,76802.77537
0.007947791,76974.63935
0.008007768,77143.8022
0.008068197,77310.21877
0.008129082,77473.84398
0.008190427,77634.63282
0.008252235,77792.54036
0.008314509,77947.52181
0.008377253,78099.53248
0.00844047,78248.5278
0.008504165,78394.46337
0.00856834,78537.29494
0.008633,78676.97845
0.008698148,78813.47001
0.008763787,78946.72593
0.008829921,79076.70277
0.008896555,79203.35727
0.008963691,79326.64362
0.009031334,79446.51039
0.009099488,79562.90559
0.009168155,79675.77751
0.009237341,79785.07469
0.009307049,79890.74593
0.009377284,79992.74036
0.009448048,80091.00741
0.009519346,80185.49686
0.009591182,80276.15884
0.00966356,80362.94388
0.009736485,80445.80288
0.00980996,80524.6872
0.009883989,80599.54862
0.009958577,80670.33937
0.010033728,80737.0122
0.010109445,80799.52035
0.010185735,80857.81758
0.0102626,80911.85822
0.010340045,80961.59714
0.010418074,81006.98983
0.010496692,81047.99238
0.010575904,81084.56153
0.010655713,81116.65466
0.010736125,81144.22984
0.010817143,81167.24583
0.010898773,81185.66213
0.010981019,81199.43897
0.011063885,81208.53736
0.011147377,81212.91909
0.011231499,81212.54659
0.011316256,81207.38082
0.011401652,81197.38176
0.011487693,81182.51023
0.011574383,81162.72793
0.011661727,81137.9975
0.01174973,81108.28255
0.011838398,81073.54763
0.011927734,81033.75829
0.012017745,80988.88114
0.012108435,80938.88378
0.012199809,80883.73492
0.012291873,80823.40433
0.012384632,80757.86292
0.01247809,80687.0827
0.012572254,80611.03686
0.012667129,80529.69978
0.012762719,80443.04702
0.012859031,80351.05536
0.012956069,80253.70284
0.01305384,80150.96875
0.013152349,80042.83366
0.013251601,79929.27948
0.013351602,79810.28939
0.013452358,79685.84796
0.013553874,79555.94109
0.013656156,79420.55607
0.01375921,79279.6816
0.013863041,79133.30779
0.013967657,78981.42616
0.014073061,78824.02971
0.014179261,78661.11503
0.014286263,78492.68953
0.014394072,78318.7646
0.014502694,78139.353
0.014612136,77954.46889
0.014722404,77764.12778
0.014833505,77568.34659
0.014945443,77367.14361
0.015058227,77160.53853
0.015171861,76948.55242
0.015286353,76731.20776
0.015401709,76508.52839
0.015517936,76280.53955
0.015635039,76047.26788
0.015753026,75808.7414
0.015871904,75564.98949
0.015991679,75316.04293
0.016112357,75061.93389
0.016233947,74802.69586
0.016356453,74538.36375
0.016479885,74268.97379
0.016604247,73994.56358
0.016729549,73715.17206
0.016855795,73430.83951
0.016982995,73141.60754
0.017111154,72847.51908
0.017240281,72548.61835
0.017370382,72244.95091
0.017501465,71936.56357
0.017633537,71623.50443
0.017766605,71305.82334
0.017900678,70983.59892
0.018035762,70656.95211
0.018171866,70326.00725
0.018308997,69990.88847
0.018447163,69651.71963
0.018586372,69308.62425
0.018726631,68961.72549
0.018867948,68611.14606
0.019010332,68257.00818
0.01915379,67899.43354
0.019298331,67538.54323
0.019443963,67174.45773
0.019590694,66807.29679
0.019738532,66437.17948
0.019887485,66064.22405
0.020037563,65688.54796
0.020188773,65310.2678
0.020341125,64929.49927
0.020494626,64546.35712
0.020649285,64160.95514
0.020805111,63773.40608
0.020962114,63383.82166
0.021120301,62992.31253
0.021279682,62598.98821
0.021440265,62203.95708
0.021602061,61807.32635
0.021765077,61409.20203
0.021929324,61009.68891
0.02209481,60608.89049
0.022261545,60206.90905
0.022429538,59803.85497
0.022598799,59399.91068
0.022769337,58995.28956
0.022941162,58590.20057
0.023114284,58184.8481
0.023288712,57779.43188
0.023464456,57374.14702
0.023641527,56969.18398
0.023819934,56564.72855
0.023999687,56160.96192
0.024180797,55758.06063
0.024363273,55356.19663
0.024547127,54955.53729
0.024732368,54556.24542
0.024919006,54158.47933
0.025107054,53762.39283
0.02529652,53368.13533
0.025487416,52975.85182
0.025679753,52585.68299
0.025873541,52197.76522
0.026068791,51812.2307
0.026265515,51429.20746
0.026463723,51048.81942
0.026663427,50671.18652
0.026864639,50296.42471
0.027067368,49924.64609
0.027271628,49555.95897
0.027477429,49190.46792
0.027684783,48828.2739
0.027893701,48469.47556
0.028104196,48114.17412
0.02831628,47762.46906
0.028529964,47414.4563
0.028745261,47070.22831
0.028962182,46729.87421
0.029180741,46393.47985
0.029400949,46061.12793
0.029622818,45732.8981
0.029846362,45408.86707
0.030071592,45089.10869
0.030298523,44773.69409
0.030527166,44462.69175
0.030757534,44156.16765
0.030989641,43854.18534
0.031223499,43556.80606
0.031459122,43264.08886
0.031696523,42976.09068
0.031935716,42692.86651
0.032176713,42414.46943
0.03241953,42140.9448
0.032664178,41872.25833
0.032910673,41608.32167
0.033159028,41349.0473
0.033409257,41094.34962
0.033661375,40844.14488
0.033915395,40598.35118
0.034171332,40356.8884
0.0344292,40119.67814
0.034689015,39886.64369
0.03495079,39657.70999
0.03521454,39432.80358
0.035480281,39211.85256
0.035748027,38994.78163
0.036017794,38781.45537
0.036289596,38571.69941
0.036563449,38365.34224
0.03683937,38162.21595
0.037117372,37962.15606
0.037397472,37765.00142
0.037679686,37570.5941
0.037964029,37378.7793
0.038250519,37189.40523
0.03853917,37002.30964
0.03883,36817.24128
0.039123024,36633.91513
0.039418259,36452.05155
0.039715723,36271.3763
0.040015431,36091.62042
0.040317401,35912.5202
0.04062165,35733.81709
0.040928194,35555.25723
0.041237052,35376.58606
0.041548241,35197.55012
0.041861778,35017.90117
0.042177681,34837.39635
0.042495968,34655.79825
0.042816657,34472.8749
0.043139766,34288.39889
0.043465313,34102.1114
0.043793317,33913.71432
0.044123796,33722.9145
0.044456769,33529.42686
0.044792255,33332.97465
0.045130272,33133.28966
0.04547084,32930.11798
0.045813978,32723.24782
0.046159706,32512.4883
0.046508043,32297.65695
0.046859008,32078.57993
0.047212622,31855.09233
0.047568904,31627.04194
